,date,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,total_cases_per_million,total_deaths_per_million,total_tests
188,2020-05-05,Gambia,17,,1 ,,9,7,,7,0.4,401
189,2020-05-05,St. Vincent Grenadines,17,, ,,9,8,,153,,137
190,2020-05-05,Curaçao,16,,1 ,,13,2,,98,6,351
191,2020-05-05,Dominica,16,, ,,14,2,,222,,416
192,2020-05-05,Namibia,16,, ,,8,8,,6,,"1,122"
193,2020-05-05,Nicaragua,15,,5 ,,7,3,,2,0.8,
194,2020-05-05,Burundi,15,,1 ,,7,7,,1,0.08,284
195,2020-05-05,Saint Kitts and Nevis,15,, ,,8,7,,282,,294
196,2020-05-05,Falkland Islands,13,, ,,13,0,,"3,736",,388
197,2020-05-05,Turks and Caicos,12,,1 ,,6,5,,310,26,107
198,2020-05-05,Montserrat,11,,1 ,,7,3,1,"2,204",200,36
199,2020-05-05,Greenland,11,, ,,11,0,,194,,"1,332"
200,2020-05-05,Vatican City,11,, ,,2,9,,"13,733",,
201,2020-05-05,Seychelles,11,, ,,8,3,,112,,
202,2020-05-05,Suriname,10,,1 ,,9,0,,17,2,404
203,2020-05-05,MS Zaandam,9,,2 ,,,7,,,,
204,2020-05-05,Mauritania,8,,1 ,,6,1,,2,0.2,"1,032"
205,2020-05-05,Papua New Guinea,8,, ,,8,0,,0.9,,"2,402"
206,2020-05-05,Bhutan,7,, ,,5,2,,9,,"11,015"
207,2020-05-05,British Virgin Islands,6,,1 ,,3,2,,198,33,
208,2020-05-05,Caribbean Netherlands,6,, ,,,6,,229,,110
209,2020-05-05,St. Barth,6,, ,,6,0,,607,,
210,2020-05-05,Western Sahara,6,, ,,5,1,,10,,
211,2020-05-05,Anguilla,3,, ,,3,0,,200,,
212,2020-05-05,Comoros,3,, ,,,3,,3,,
213,2020-05-05,Saint Pierre Miquelon,1,, ,,,1,,173,,
214,2020-05-05,China,"82,881",+1,"4,633 ",,"77,853",395,29,58,3,
